Volatility 3 Framework 2.26.2

PID	PPID	ImageFileName	Offset(V)	Threads	Handles	SessionId	Wow64	CreateTime	ExitTime	Audit	Cmd	Path
** 3172	1000	svchost.exe	0x840e970f3080	9	-	0	False	2025-03-12 16:40:04.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation -p -s SSDPSRV	C:\Windows\system32\svchost.exe
** 7780	1000	svchost.exe	0x840e9856b2c0	8	-	0	False	2025-03-12 16:41:39.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\Windows\system32\svchost.exe -k netsvcs -p -s UsoSvc	C:\Windows\system32\svchost.exe
** 8292	1000	svchost.exe	0x840e98e742c0	2	-	0	False	2025-03-12 16:41:50.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\Windows\system32\svchost.exe -k netsvcs -p -s lfsvc	C:\Windows\system32\svchost.exe
** 8808	1000	SecurityHealth	0x840e98ff32c0	8	-	0	False	2025-03-12 16:41:54.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\SecurityHealthService.exe	C:\Windows\system32\SecurityHealthService.exe	C:\Windows\system32\SecurityHealthService.exe
** 9320	1000	svchost.exe	0x840e996cf080	6	-	2	False	2025-03-12 19:20:09.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\Windows\system32\svchost.exe -k UnistackSvcGroup -s CDPUserSvc	C:\Windows\system32\svchost.exe
** 2160	1000	svchost.exe	0x840e96769240	7	-	0	False	2025-03-12 16:39:53.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\Windows\system32\svchost.exe -k LocalService -p -s FontCache	C:\Windows\system32\svchost.exe
** 3696	1000	Sysmon64.exe	0x840e9715d080	18	-	0	False	2025-03-12 16:40:05.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\Sysmon64.exe	C:\Windows\Sysmon64.exe	C:\Windows\Sysmon64.exe
*** 1244	3696	Sysmon64.exe	0x840e91f131c0	2	-	1	False	2025-03-12 16:41:31.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\Sysmon64.exe	"C:\Windows\Sysmon64.exe" -z syscliprpc116B2E44C94D8C5B	C:\Windows\Sysmon64.exe
**** 4732	1244	conhost.exe	0x840e98444080	0	-	1	False	2025-03-12 16:41:32.000000 UTC	2025-03-12 16:41:34.000000 UTC	\Device\HarddiskVolume3\Windows\System32\conhost.exe	-	-
*** 1540	3696	Sysmon64.exe	0x840e91ee7080	2	-	2	False	2025-03-12 19:20:11.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\Sysmon64.exe	"C:\Windows\Sysmon64.exe" -z syscliprpc116B2E44C94D8C5B	C:\Windows\Sysmon64.exe
**** 10944	1540	conhost.exe	0x840e98eb3080	2	-	2	False	2025-03-12 19:20:12.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\conhost.exe	\??\C:\Windows\system32\conhost.exe 0x4	C:\Windows\system32\conhost.exe
** 1652	1000	svchost.exe	0x840e92f04340	4	-	0	False	2025-03-12 16:39:53.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\Windows\system32\svchost.exe -k LocalService -p -s nsi	C:\Windows\system32\svchost.exe
** 8312	1000	svchost.exe	0x840e91c3b300	2	-	0	False	2025-03-12 16:48:16.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\Windows\system32\svchost.exe -k LocalService -p -s BthAvctpSvc	C:\Windows\system32\svchost.exe
** 2168	1000	svchost.exe	0x840e9676e080	8	-	0	False	2025-03-12 16:39:53.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\Windows\System32\svchost.exe -k LocalService -p -s netprofm	C:\Windows\System32\svchost.exe
** 2180	1000	svchost.exe	0x840e9676b300	2	-	0	False	2025-03-12 16:39:53.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p -s AudioEndpointBuilder	C:\Windows\System32\svchost.exe
** 5772	1000	svchost.exe	0x840e97f7e080	7	-	0	False	2025-03-12 16:40:14.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\Windows\system32\svchost.exe -k netsvcs -p -s TokenBroker	C:\Windows\system32\svchost.exe
** 15508	1000	svchost.exe	0x840e99581080	2	-	0	False	2025-03-17 16:52:19.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p -s WdiSystemHost	C:\Windows\System32\svchost.exe
** 12440	1000	svchost.exe	0x840e9bee60c0	5	-	0	False	2025-03-13 14:54:32.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\Windows\system32\svchost.exe -k netsvcs -p -s IKEEXT	C:\Windows\system32\svchost.exe
** 16024	1000	svchost.exe	0x840ea7061080	6	-	0	False	2025-03-17 17:21:19.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\Windows\system32\svchost.exe -k netsvcs -p -s gpsvc	C:\Windows\system32\svchost.exe
** 10392	1000	svchost.exe	0x840ea17e9080	4	-	0	False	2025-03-17 17:25:41.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -s WPDBusEnum	C:\Windows\system32\svchost.exe
** 2216	1000	svchost.exe	0x840e96c61080	12	-	0	False	2025-03-12 16:40:03.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\Windows\system32\svchost.exe -k LocalServiceNoNetworkFirewall -p	C:\Windows\system32\svchost.exe
** 2220	1000	svchost.exe	0x840e96c5e1c0	4	-	0	False	2025-03-12 16:40:03.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation -p -s FDResPub	C:\Windows\system32\svchost.exe
** 4800	1000	svchost.exe	0x840e973d81c0	3	-	0	False	2025-03-12 16:40:06.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\Windows\system32\svchost.exe -k NetworkServiceNetworkRestricted -p -s PolicyAgent	C:\Windows\system32\svchost.exe
** 8912	1000	svchost.exe	0x840e966d9300	10	-	0	False	2025-03-12 16:42:19.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p -s wscsvc	C:\Windows\System32\svchost.exe
** 6356	1000	svchost.exe	0x840e995cd0c0	3	-	0	False	2025-03-12 16:42:18.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p -s StorSvc	C:\Windows\System32\svchost.exe
** 5340	1000	svchost.exe	0x840e91c2a080	4	-	0	False	2025-03-12 16:41:33.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p -s TabletInputService	C:\Windows\System32\svchost.exe
*** 12188	5340	ctfmon.exe	0x840e9ce53300	9	-	2	False	2025-03-12 19:20:29.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\ctfmon.exe	"ctfmon.exe"	C:\Windows\system32\ctfmon.exe
** 9948	1000	SgrmBroker.exe	0x840e995680c0	7	-	0	False	2025-03-12 16:42:18.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\SgrmBroker.exe	C:\Windows\system32\SgrmBroker.exe	C:\Windows\system32\SgrmBroker.exe
** 1764	1000	svchost.exe	0x840e92f202c0	6	-	0	False	2025-03-12 16:39:53.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\Windows\system32\svchost.exe -k netsvcs -p -s UserManager	C:\Windows\system32\svchost.exe
*** 10384	1764	sihost.exe	0x840e993240c0	10	-	2	False	2025-03-12 19:20:09.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\sihost.exe	sihost.exe	C:\Windows\system32\sihost.exe
*** 6908	1764	sihost.exe	0x840e96e0f080	10	-	1	False	2025-03-12 16:41:29.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\sihost.exe	sihost.exe	C:\Windows\system32\sihost.exe
** 2276	1000	svchost.exe	0x840e96794080	5	-	0	False	2025-03-12 16:39:54.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p	C:\Windows\System32\svchost.exe
** 740	1000	svchost.exe	0x840e96cdd1c0	5	-	0	False	2025-03-12 16:40:03.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\Windows\System32\svchost.exe -k NetworkService -p -s LanmanWorkstation	C:\Windows\System32\svchost.exe
** 9444	1000	svchost.exe	0x840ea5d2f080	4	-	0	False	2025-03-13 21:55:51.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\Windows\system32\svchost.exe -k LocalService -s W32Time	C:\Windows\system32\svchost.exe
** 12008	1000	svchost.exe	0x840ea08f3080	24	-	0	False	2025-03-17 17:26:46.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\Windows\System32\svchost.exe -k netsvcs -p -s BITS	C:\Windows\System32\svchost.exe
** 3308	1000	svchost.exe	0x840e96d9f080	11	-	0	False	2025-03-12 16:40:03.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\Windows\system32\svchost.exe -k NetworkService -p -s CryptSvc	C:\Windows\system32\svchost.exe
** 9452	1000	svchost.exe	0x840e90b0d080	5	-	2	False	2025-03-12 19:20:09.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\Windows\system32\svchost.exe -k UnistackSvcGroup -s WpnUserService	C:\Windows\system32\svchost.exe
** 1776	1000	svchost.exe	0x840e92f23080	7	-	0	False	2025-03-12 16:39:53.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p -s Dhcp	C:\Windows\system32\svchost.exe
** 2800	1000	svchost.exe	0x840e9f40c340	11	-	0	False	2025-03-12 22:01:25.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\Windows\System32\svchost.exe -k NetworkService -p -s DoSvc	C:\Windows\System32\svchost.exe
** 756	1000	svchost.exe	0x840e923de2c0	17	-	0	False	2025-03-12 16:39:52.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\Windows\system32\svchost.exe -k DcomLaunch -p	C:\Windows\system32\svchost.exe
*** 7684	756	RuntimeBroker.	0x840e98aef080	4	-	1	False	2025-03-12 16:41:39.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\RuntimeBroker.exe	C:\Windows\System32\RuntimeBroker.exe -Embedding	C:\Windows\System32\RuntimeBroker.exe
*** 9092	756	SearchApp.exe	0x840e9c441080	38	-	2	False	2025-03-12 19:30:44.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\SystemApps\Microsoft.Windows.Search_cw5n1h2txyewy\SearchApp.exe	"C:\Windows\SystemApps\Microsoft.Windows.Search_cw5n1h2txyewy\SearchApp.exe" -ServerName:ShellFeedsUI.AppX88fpyyrd21w8wqe62wzsjh5agex7tf1e.mca	C:\Windows\SystemApps\Microsoft.Windows.Search_cw5n1h2txyewy\SearchApp.exe
*** 8	756	StartMenuExper	0x840e9b7bb080	7	-	2	False	2025-03-12 19:20:15.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\SystemApps\Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy\StartMenuExperienceHost.exe	"C:\Windows\SystemApps\Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy\StartMenuExperienceHost.exe" -ServerName:App.AppXywbrabmsek0gm3tkwpr5kwzbs55tkqay.mca	C:\Windows\SystemApps\Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy\StartMenuExperienceHost.exe
*** 4236	756	SearchApp.exe	0x840e998450c0	37	-	1	False	2025-03-12 16:51:43.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\SystemApps\Microsoft.Windows.Search_cw5n1h2txyewy\SearchApp.exe	"C:\Windows\SystemApps\Microsoft.Windows.Search_cw5n1h2txyewy\SearchApp.exe" -ServerName:ShellFeedsUI.AppX88fpyyrd21w8wqe62wzsjh5agex7tf1e.mca	C:\Windows\SystemApps\Microsoft.Windows.Search_cw5n1h2txyewy\SearchApp.exe
*** 10764	756	RuntimeBroker.	0x840e9c121080	1	-	2	False	2025-03-12 19:20:16.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\RuntimeBroker.exe	C:\Windows\System32\RuntimeBroker.exe -Embedding	C:\Windows\System32\RuntimeBroker.exe
*** 11148	756	Microsoft.Phot	0x840e9b739080	16	-	2	False	2025-03-12 19:28:09.000000 UTC	N/A	\Device\HarddiskVolume3\Program Files\WindowsApps\Microsoft.Windows.Photos_2019.19071.12548.0_x64__8wekyb3d8bbwe\Microsoft.Photos.exe	"C:\Program Files\WindowsApps\Microsoft.Windows.Photos_2019.19071.12548.0_x64__8wekyb3d8bbwe\Microsoft.Photos.exe" -ServerName:App.AppXzst44mncqdg84v7sv6p7yznqwssy6f7f.mca	C:\Program Files\WindowsApps\Microsoft.Windows.Photos_2019.19071.12548.0_x64__8wekyb3d8bbwe\Microsoft.Photos.exe
*** 10124	756	dllhost.exe	0x840e9eaee0c0	2	-	2	False	2025-03-12 22:39:47.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\dllhost.exe	C:\Windows\system32\DllHost.exe /Processid:{3AD05575-8857-4850-9277-11B85BDB8E09}	C:\Windows\system32\DllHost.exe
*** 8592	756	FileCoAuth.exe	0x840e90de9080	2	-	1	False	2025-03-12 16:43:45.000000 UTC	N/A	\Device\HarddiskVolume3\Users\admin\AppData\Local\Microsoft\OneDrive\25.031.0217.0003\FileCoAuth.exe	"C:\Users\admin\AppData\Local\Microsoft\OneDrive\25.031.0217.0003\FileCoAuth.exe" -Embedding	C:\Users\admin\AppData\Local\Microsoft\OneDrive\25.031.0217.0003\FileCoAuth.exe
*** 9620	756	UserOOBEBroker	0x840e974b2080	1	-	1	False	2025-03-12 16:43:24.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\oobe\UserOOBEBroker.exe	C:\Windows\System32\oobe\UserOOBEBroker.exe -Embedding	C:\Windows\System32\oobe\UserOOBEBroker.exe
*** 8472	756	dllhost.exe	0x840e98fb61c0	7	-	1	False	2025-03-12 16:41:51.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\dllhost.exe	C:\Windows\system32\DllHost.exe /Processid:{973D20D7-562D-44B9-B70B-5A0F49CCDF3F}	C:\Windows\system32\DllHost.exe
*** 10648	756	RuntimeBroker.	0x840e9c252080	3	-	2	False	2025-03-12 19:28:13.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\RuntimeBroker.exe	C:\Windows\System32\RuntimeBroker.exe -Embedding	C:\Windows\System32\RuntimeBroker.exe
*** 7964	756	WmiPrvSE.exe	0x840e9cba3080	6	-	0	False	2025-03-12 19:20:48.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\wbem\WmiPrvSE.exe	C:\Windows\system32\wbem\wmiprvse.exe	C:\Windows\system32\wbem\wmiprvse.exe
*** 10144	756	MoUsoCoreWorke	0x840e9b2df080	8	-	0	False	2025-03-13 21:55:17.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\MoUsoCoreWorker.exe	C:\Windows\System32\mousocoreworker.exe -Embedding	C:\Windows\System32\mousocoreworker.exe
*** 10020	756	SystemSettings	0x840e98bdf080	19	-	1	False	2025-03-12 16:43:23.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\ImmersiveControlPanel\SystemSettings.exe	"C:\Windows\ImmersiveControlPanel\SystemSettings.exe" -ServerName:microsoft.windows.immersivecontrolpanel	C:\Windows\ImmersiveControlPanel\SystemSettings.exe
*** 7588	756	ShellExperienc	0x840e985d8080	15	-	2	False	2025-03-12 19:22:44.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\SystemApps\ShellExperienceHost_cw5n1h2txyewy\ShellExperienceHost.exe	"C:\Windows\SystemApps\ShellExperienceHost_cw5n1h2txyewy\ShellExperienceHost.exe" -ServerName:App.AppXtk181tbxbce2qsex02s8tw7hfxa9xb3t.mca	C:\Windows\SystemApps\ShellExperienceHost_cw5n1h2txyewy\ShellExperienceHost.exe
*** 1832	756	RuntimeBroker.	0x840e97ea9080	3	-	1	False	2025-03-12 16:53:44.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\RuntimeBroker.exe	C:\Windows\System32\RuntimeBroker.exe -Embedding	C:\Windows\System32\RuntimeBroker.exe
*** 5164	756	dllhost.exe	0x840e9c236080	7	-	2	False	2025-03-12 19:20:22.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\dllhost.exe	C:\Windows\system32\DllHost.exe /Processid:{973D20D7-562D-44B9-B70B-5A0F49CCDF3F}	C:\Windows\system32\DllHost.exe
*** 8120	756	RuntimeBroker.	0x840e98bd6240	8	-	1	False	2025-03-12 16:41:41.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\RuntimeBroker.exe	C:\Windows\System32\RuntimeBroker.exe -Embedding	C:\Windows\System32\RuntimeBroker.exe
*** 2492	756	dllhost.exe	0x840e99840080	2	-	1	True	2025-03-12 16:53:46.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\SysWOW64\dllhost.exe	"C:\Windows\SysWOW64\DllHost.exe" /Processid:{776DBC8D-7347-478C-8D71-791E12EF49D8}	C:\Windows\SysWOW64\DllHost.exe
*** 7612	756	RuntimeBroker.	0x840e98b8e340	2	-	1	False	2025-03-12 16:41:48.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\RuntimeBroker.exe	C:\Windows\System32\RuntimeBroker.exe -Embedding	C:\Windows\System32\RuntimeBroker.exe
